Dt,Price,Open,High,Low,Vol.,Change %
01/27/21,"1,848.90","1,854.30","1,855.70","1,832.40",174.14K,-0.32%
01/26/21,"1,854.80","1,858.70","1,864.50","1,851.10",91.25K,-0.23%
01/25/21,"1,859.00","1,858.60","1,870.90","1,850.00",89.52K,0.15%
01/22/21,"1,856.20","1,870.10","1,870.80","1,836.30",249.72K,-0.52%
01/21/21,"1,865.90","1,871.00","1,874.60","1,857.50",196.94K,-0.03%
01/20/21,"1,866.50","1,839.90","1,872.00","1,831.10",274.40K,1.43%
01/19/21,"1,840.20","1,828.80","1,845.00","1,800.80",331.59K,0.20%
01/18/21,"1,836.60","1,809.65","1,839.45","1,809.65",-,1.48%
01/17/21,"1,809.75","1,826.80","1,829.10","1,803.60",-,-1.10%
01/15/21,"1,829.90","1,847.30","1,856.60","1,822.10",231.11K,-1.16%
01/14/21,"1,851.40","1,845.60","1,857.60","1,826.60",257.66K,-0.19%
01/13/21,"1,854.90","1,855.00","1,863.00","1,841.60",225.99K,0.58%
01/12/21,"1,844.20","1,845.40","1,864.00","1,835.80",240.66K,-0.36%
01/11/21,"1,850.80","1,849.40","1,856.00","1,817.10",268.36K,0.84%
01/08/21,"1,835.40","1,915.20","1,918.40","1,827.80",443.51K,-4.09%
01/07/21,"1,913.60","1,921.50","1,929.60","1,907.50",199.98K,0.26%
01/06/21,"1,908.60","1,952.80","1,962.50","1,902.60",366.61K,-2.34%
01/05/21,"1,954.40","1,946.00","1,957.00","1,938.40",201.95K,0.40%
01/04/21,"1,946.60","1,908.20","1,948.70","1,906.10",273.37K,2.37%
01/01/21,"1,901.60","1,901.60","1,901.60","1,901.60",-,0.34%
12/31/20,"1,895.10","1,899.00","1,904.90","1,889.10",130.63K,0.09%
12/30/20,"1,893.40","1,881.80","1,899.00","1,879.50",133.66K,0.56%
12/29/20,"1,882.90","1,878.00","1,891.30","1,875.60",149.27K,0.13%
12/28/20,"1,880.40","1,887.00","1,904.10","1,873.00",196.76K,-0.15%
12/24/20,"1,883.20","1,877.30","1,887.40","1,873.10",89.41K,0.27%
12/23/20,"1,878.10","1,865.60","1,883.70","1,860.90",162.54K,0.42%
12/22/20,"1,870.30","1,883.00","1,889.40","1,863.70",176.02K,-0.66%
12/21/20,"1,882.80","1,892.90","1,912.00","1,859.00",232.05K,-0.32%
12/18/20,"1,888.90","1,891.30","1,895.70","1,881.90",153.23K,-0.08%
12/17/20,"1,890.40","1,868.40","1,902.00","1,865.90",219.87K,1.68%
12/16/20,"1,859.10","1,857.70","1,870.00","1,848.20",199.68K,0.20%
12/15/20,"1,855.30","1,830.50","1,859.30","1,828.50",173.61K,1.27%
12/14/20,"1,832.10","1,845.00","1,845.60","1,820.00",168.49K,-0.62%
12/11/20,"1,843.60","1,840.00","1,851.80","1,826.80",153.80K,0.34%
12/10/20,"1,837.40","1,843.00","1,854.20","1,831.50",164.80K,-0.06%
12/09/20,"1,838.50","1,875.40","1,875.90","1,828.20",219.59K,-1.94%
12/08/20,"1,874.90","1,866.10","1,879.80","1,863.90",151.79K,0.48%
12/07/20,"1,866.00","1,841.10","1,873.00","1,824.80",209.04K,1.41%
12/04/20,"1,840.00","1,844.70","1,852.70","1,832.00",171.26K,-0.06%
12/03/20,"1,841.10","1,833.90","1,847.40","1,826.70",180.36K,0.60%
12/02/20,"1,830.20","1,819.10","1,835.70","1,810.50",185.32K,0.62%
12/01/20,"1,818.90","1,780.30","1,821.10","1,778.40",203.65K,2.13%
11/30/20,"1,780.90","1,790.80","1,793.30","1,767.20",242.73K,-0.40%
11/27/20,"1,788.10","1,812.10","1,822.60","1,776.50",282.35K,-1.05%
11/26/20,"1,807.00","1,806.25","1,816.80","1,804.20",-,-0.23%
11/25/20,"1,811.20","1,812.00","1,821.70","1,804.70",133.60K,0.02%
11/24/20,"1,810.90","1,842.60","1,843.00","1,803.70",126.76K,-1.46%
11/23/20,"1,837.80","1,869.80","1,875.00","1,828.00",319.66K,-1.85%
11/20/20,"1,872.40","1,864.80","1,879.20","1,859.10",186.17K,0.59%
11/19/20,"1,861.50","1,872.00","1,872.60","1,850.00",222.35K,-0.66%
11/18/20,"1,873.90","1,879.50","1,884.20","1,860.30",209.00K,-0.59%
11/17/20,"1,885.10","1,888.20","1,892.70","1,876.30",160.88K,-0.14%
11/16/20,"1,887.80","1,886.60","1,898.00","1,861.50",222.94K,0.08%
11/13/20,"1,886.20","1,875.60","1,895.80","1,872.10",162.54K,0.69%
11/12/20,"1,873.30","1,863.90","1,883.00","1,860.70",209.93K,0.63%
11/11/20,"1,861.60","1,876.10","1,882.50","1,853.90",215.17K,-0.79%
11/10/20,"1,876.40","1,864.10","1,888.90","1,858.90",264.87K,1.19%
11/09/20,"1,854.40","1,956.00","1,966.10","1,848.00",496.09K,-4.99%
11/06/20,"1,951.70","1,950.00","1,961.80","1,937.20",246.78K,0.25%
11/05/20,"1,946.80","1,903.40","1,954.30","1,902.20",297.51K,2.67%
11/04/20,"1,896.20","1,910.30","1,917.90","1,881.80",293.95K,-0.74%
11/03/20,"1,910.40","1,896.40","1,912.20","1,887.60",171.37K,0.95%
11/02/20,"1,892.50","1,877.00","1,897.10","1,873.30",164.94K,0.67%
10/30/20,"1,879.90","1,867.90","1,890.90","1,863.30",213.17K,0.64%
10/29/20,"1,868.00","1,877.50","1,885.10","1,859.20",225.16K,-0.60%
10/28/20,"1,879.20","1,909.80","1,912.60","1,869.10",297.09K,-1.71%
10/27/20,"1,911.90","1,904.40","1,913.80","1,898.70",153.30K,0.33%
10/26/20,"1,905.70","1,906.00","1,911.10","1,892.50",166.31K,0.03%
10/23/20,"1,905.20","1,906.50","1,917.30","1,895.20",172.96K,0.03%
10/22/20,"1,904.60","1,927.40","1,929.40","1,894.20",215.58K,-1.29%
10/21/20,"1,929.50","1,911.60","1,936.00","1,911.60",201.27K,0.74%
10/20/20,"1,915.40","1,906.40","1,917.60","1,896.60",163.91K,0.19%
10/19/20,"1,911.70","1,903.20","1,923.40","1,900.20",159.85K,0.28%
10/16/20,"1,906.40","1,912.70","1,918.70","1,901.10",146.91K,-0.13%
10/15/20,"1,908.90","1,906.00","1,913.20","1,892.70",213.57K,0.08%
10/14/20,"1,907.30","1,895.40","1,917.50","1,885.00",188.30K,0.67%
10/13/20,"1,894.60","1,927.30","1,930.60","1,889.30",267.54K,-1.78%
10/12/20,"1,928.90","1,935.00","1,939.40","1,923.80",157.21K,0.14%
10/09/20,"1,926.20","1,898.40","1,936.80","1,898.00",229.85K,1.64%
10/08/20,"1,895.10","1,890.60","1,905.30","1,885.30",185.45K,0.23%
10/07/20,"1,890.80","1,882.60","1,902.40","1,877.10",188.59K,-0.94%
10/06/20,"1,908.80","1,917.80","1,927.00","1,878.20",219.44K,-0.59%
10/05/20,"1,920.10","1,910.90","1,924.90","1,891.20",177.59K,0.66%
10/02/20,"1,907.60","1,911.00","1,923.60","1,895.20",212.73K,-0.45%
10/01/20,"1,916.30","1,891.20","1,917.90","1,890.00",262.09K,1.10%
